,SAPClient,CompanyCode,CompanyCodeName,PostingDate,DocumentType,DocumentTypeName,SourceTable,DELETE_DF_DI,UPDATE_DF_TS,Amount,CreditAmount,ProcessingTime
18,100,1026,Tennessee-American Water,20210804,D,Direct Debit Bank Account -AW,DPAYH,,20210803094151,53345.43,,2021-08-04 04:05:47.512
19,100,1017,Missouri-American Water C,20210804,D,Direct Debit Bank Account -AW,DPAYH,,20210803094151,373505.45,,2021-08-04 04:05:47.512
20,100,1010,Indiana-American Water Co,20210803,FT,First Tech Payment,DFKKZK,,20210803100454,18660.38,0.00,2021-08-04 04:05:47.512
21,100,1015,California-American Water,20210803,CF,CheckFree Payment,DFKKZK,,20210803100312,2924.19,0.00,2021-08-04 04:05:47.512
22,100,1011,Iowa-American Water Compa,20210803,CF,CheckFree Payment,DFKKZK,,20210803100335,4453.19,0.00,2021-08-04 04:05:47.512
23,100,1012,Kentucky-American Water C,20210803,CF,CheckFree Payment,DFKKZK,,20210803100335,1462.12,0.00,2021-08-04 04:05:47.512
24,100,1027,Virginia-American Water C,20210803,CF,CheckFree Payment,DFKKZK,,20210803100314,583.91,0.00,2021-08-04 04:05:47.512
25,100,1028,West Virginia-American Wa,20210803,CF,CheckFree Payment,DFKKZK,,20210803100335,11127.62,0.00,2021-08-04 04:05:47.512
26,100,1025,Illinois-American Water C,20210803,CF,CheckFree Payment,DFKKZK,,20210803100312,3059.85,0.00,2021-08-04 04:05:47.512
27,100,1026,Tennessee-American Water,20210803,CF,CheckFree Payment,DFKKZK,,20210803100335,1271.98,0.00,2021-08-04 04:05:47.512
28,100,1024,Pennsylvania-American Wat,20210803,CF,CheckFree Payment,DFKKZK,,20210803100312,20658.19,0.00,2021-08-04 04:05:47.512
29,100,1013,Maryland-American Water C,20210803,CF,CheckFree Payment,DFKKZK,,20210803100335,86.55,0.00,2021-08-04 04:05:47.512
30,100,1038,New York American Water C,20210803,CF,CheckFree Payment,DFKKZK,,20210803100335,252.91,0.00,2021-08-04 04:05:47.512
